Zip Code ZCTA,2010 Census Population
1001,16769
1002,29049
1003,10372
1005,5079
1007,14649
1008,1263
1009,741
1010,3609
1011,1370
1012,661
1013,23188
1020,29668
1022,2451
1026,946
1027,17660
1028,15720
1029,789
1030,11669
1031,1308
1032,570
1033,6227
1034,2021
1035,5250
1036,5109
1037,838
1038,2545
1039,1336
1040,39880
1050,2530
1053,1685
1054,1851
1056,21103
1057,8534
1060,15284
1062,11150
1063,430
1066,64
1068,1902
1069,8469
1070,629
1071,1596
1072,1478
1073,5792
1074,319
1075,17527
1077,9502
1079,692
1080,2334
1081,1698
1082,10322
1083,2888
1084,176
1085,41117
1086,687
1088,670
1089,28391
1092,1394
1093,325
1094,351
1095,14319
1096,2217
1097,111
1098,1101
1103,2479
1104,22865
1105,12350
1106,16021
1107,11611
1108,26688
1109,30250
1118,14071
1119,14152
1128,2631
1129,7019
1151,8698
1199,0
1201,46504
1220,8603
1222,829
1223,2314
1224,182
1225,3117
1226,6945
1229,95
1230,8430
1235,2766
1236,1509
1237,2496
1238,6047
1240,4534
1242,476
1243,334
1244,151
1245,985
1247,16087
1253,731
1254,972
1255,915
1256,692